CODGEO;LIBGEO;AAV2020;LIBAAV2020;CATEAAV2020;DEP;REG
21231;Dijon;028;Dijon;11;21;27
21232;Dompierre-en-Morvan;392;Semur-en-Auxois;20;21;27
21233;Drambon;028;Dijon;20;21;27
21234;Drée;028;Dijon;20;21;27
21235;Duesme;000;Commune hors attraction des villes;30;21;27
21236;Ébaty;174;Beaune;20;21;27
21237;Échalot;028;Dijon;20;21;27
21238;Échannay;028;Dijon;20;21;27
21239;Échenon;028;Dijon;20;21;27
21240;Échevannes;028;Dijon;20;21;27
21241;Échevronne;174;Beaune;20;21;27
21242;Échigey;028;Dijon;20;21;27
21243;Écutigny;000;Commune hors attraction des villes;30;21;27
21244;Éguilly;000;Commune hors attraction des villes;30;21;27
21245;Épagny;028;Dijon;20;21;27
21246;Épernay-sous-Gevrey;028;Dijon;20;21;27
21247;Époisses;392;Semur-en-Auxois;20;21;27
21248;Éringes;442;Montbard;20;21;27
21249;Esbarres;028;Dijon;20;21;27
21250;Essarois;365;Châtillon-sur-Seine;20;21;27
21251;Essey;000;Commune hors attraction des villes;30;21;27
21252;Étais;442;Montbard;20;21;27
21253;Étalante;000;Commune hors attraction des villes;30;21;27
21254;L'Étang-Vergy;028;Dijon;20;21;27
21255;Étaules;028;Dijon;20;21;27
21256;Étevaux;028;Dijon;20;21;27
21257;Étormay;442;Montbard;20;21;27
21258;Étrochey;365;Châtillon-sur-Seine;20;21;27
21259;Fain-lès-Montbard;442;Montbard;20;21;27
21260;Fain-lès-Moutiers;392;Semur-en-Auxois;20;21;27
21261;Fauverney;028;Dijon;20;21;27
21262;Faverolles-lès-Lucey;000;Commune hors attraction des villes;30;21;27
21263;Fénay;028;Dijon;20;21;27
21264;Le Fête;028;Dijon;20;21;27
21265;Fixin;028;Dijon;20;21;27
21266;Flacey;028;Dijon;20;21;27
21267;Flagey-Echézeaux;028;Dijon;20;21;27
21268;Flagey-lès-Auxonne;000;Commune hors attraction des villes;30;21;27
21269;Flammerans;028;Dijon;20;21;27
21270;Flavignerot;028;Dijon;20;21;27
21271;Flavigny-sur-Ozerain;000;Commune hors attraction des villes;30;21;27
21272;Le Val-Larrey;392;Semur-en-Auxois;20;21;27
21273;Fleurey-sur-Ouche;028;Dijon;20;21;27
21274;Foissy;000;Commune hors attraction des villes;30;21;27
21275;Foncegrive;028;Dijon;20;21;27
21276;Fontaines-en-Duesmois;000;Commune hors attraction des villes;30;21;27
21277;Fontaine-Française;028;Dijon;20;21;27
21278;Fontaine-lès-Dijon;028;Dijon;12;21;27
21279;Fontaines-les-Sèches;000;Commune hors attraction des villes;30;21;27
21280;Fontangy;000;Commune hors attraction des villes;30;21;27
21281;Fontenelle;028;Dijon;20;21;27
21282;Forléans;392;Semur-en-Auxois;20;21;27
21283;Fraignot-et-Vesvrotte;028;Dijon;20;21;27
21284;Francheville;028;Dijon;20;21;27
21285;Franxault;000;Commune hors attraction des villes;30;21;27
21286;Frénois;028;Dijon;20;21;27
21287;Fresnes;442;Montbard;20;21;27
21288;Frôlois;619;Venarey-les-Laumes;20;21;27
21289;Fussey;028;Dijon;20;21;27
21290;Gemeaux;028;Dijon;20;21;27
21291;Genay;392;Semur-en-Auxois;20;21;27
21292;Genlis;028;Dijon;20;21;27
21293;Gergueil;028;Dijon;20;21;27
21294;Gerland;028;Dijon;20;21;27
21295;Gevrey-Chambertin;028;Dijon;20;21;27
21296;Gevrolles;000;Commune hors attraction des villes;30;21;27
21297;Gilly-lès-Cîteaux;028;Dijon;20;21;27
21298;Gissey-le-Vieil;000;Commune hors attraction des villes;30;21;27
21299;Gissey-sous-Flavigny;619;Venarey-les-Laumes;20;21;27
21300;Gissey-sur-Ouche;028;Dijon;20;21;27
21301;Glanon;028;Dijon;20;21;27
21302;Gomméville;365;Châtillon-sur-Seine;20;21;27
21303;Les Goulles;160;Chaumont;20;21;27
21304;Grancey-le-Château-Neuvelle;028;Dijon;20;21;27
21305;Grancey-sur-Ource;365;Châtillon-sur-Seine;20;21;27
21306;Grenant-lès-Sombernon;028;Dijon;20;21;27
21307;Grésigny-Sainte-Reine;619;Venarey-les-Laumes;20;21;27
21308;Grignon;619;Venarey-les-Laumes;20;21;27
21309;Griselles;000;Commune hors attraction des villes;30;21;27
21310;Grosbois-en-Montagne;028;Dijon;20;21;27
21311;Grosbois-lès-Tichey;000;Commune hors attraction des villes;30;21;27
