"NIVGEO","CODGEO","LIBGEO","AGEFOR5","NB_tot"
"COM","70055","Baudoncourt",25,5
"COM","70056","Baulay",3,9.77917981072556
"COM","70056","Baulay",6,14.6687697160883
"COM","70056","Baulay",11,24.4479495268139
"COM","70056","Baulay",25,9.77917981072556
"COM","70057","Bay",0,4.90131578947368
"COM","70057","Bay",3,9.80263157894737
"COM","70057","Bay",6,9.80263157894737
"COM","70057","Bay",11,19.6052631578947
"COM","70057","Bay",18,4.90131578947368
"COM","70057","Bay",25,4.90131578947368
"COM","70058","Beaujeu-Saint-Vallier-Pierrejux-et-Quitteur",0,19.6554209921178
"COM","70058","Beaujeu-Saint-Vallier-Pierrejux-et-Quitteur",3,48.709922012499
"COM","70058","Beaujeu-Saint-Vallier-Pierrejux-et-Quitteur",6,63.599064965391
"COM","70058","Beaujeu-Saint-Vallier-Pierrejux-et-Quitteur",11,78.0321775757801
"COM","70058","Beaujeu-Saint-Vallier-Pierrejux-et-Quitteur",18,19.7226017734076
"COM","70058","Beaujeu-Saint-Vallier-Pierrejux-et-Quitteur",25,19.920567403525
"COM","70059","Beaumotte-Aubertans",0,29.9014688666567
"COM","70059","Beaumotte-Aubertans",3,34.8736007864878
"COM","70059","Beaumotte-Aubertans",6,49.7729523384771
"COM","70059","Beaumotte-Aubertans",11,29.8929026018181
"COM","70059","Beaumotte-Aubertans",18,4.98927918251837
"COM","70059","Beaumotte-Aubertans",25,9.97855836503674
"COM","70060","Beaumotte-lès-Pin",0,5.10416666666667
"COM","70060","Beaumotte-lès-Pin",3,5.10416666666667
"COM","70060","Beaumotte-lès-Pin",6,20.4166666666667
"COM","70060","Beaumotte-lès-Pin",11,20.4166666666667
"COM","70060","Beaumotte-lès-Pin",18,10.2083333333333
"COM","70060","Beaumotte-lès-Pin",25,5.10416666666667
"COM","70061","Belfahy",3,4.94088555587095
"COM","70061","Belfahy",6,4.94088555587095
"COM","70061","Belfahy",11,4.94088555587095
"COM","70062","Belmont",0,5.18248175182482
"COM","70062","Belmont",3,10.3649635036496
"COM","70062","Belmont",6,15.5474452554744
"COM","70062","Belmont",25,10.3649635036496
"COM","70063","Belonchamp",6,5
"COM","70063","Belonchamp",11,15
"COM","70063","Belonchamp",18,20
"COM","70063","Belonchamp",25,10
"COM","70064","Belverne",3,5.13793103448276
"COM","70064","Belverne",6,20.551724137931
"COM","70064","Belverne",11,15.4137931034483
"COM","70064","Belverne",18,10.2758620689655
"COM","70065","Besnans",11,4.87341772151899
"COM","70065","Besnans",25,14.620253164557
"COM","70066","Betaucourt",0,5.44247683175309
"COM","70066","Betaucourt",3,16.3274304952593
"COM","70066","Betaucourt",6,16.3274304952593
"COM","70066","Betaucourt",11,5.44247683175309
"COM","70067","Betoncourt-lès-Brotte",0,5.29411764705882
"COM","70067","Betoncourt-lès-Brotte",3,10.5882352941176
"COM","70067","Betoncourt-lès-Brotte",6,21.1764705882352
"COM","70067","Betoncourt-lès-Brotte",11,10.5882352941176
"COM","70067","Betoncourt-lès-Brotte",25,5.29411764705882
"COM","70069","Betoncourt-Saint-Pancras",6,5.22727272727273
"COM","70069","Betoncourt-Saint-Pancras",11,5.22727272727273
"COM","70070","Betoncourt-sur-Mance",0,0
"COM","70070","Betoncourt-sur-Mance",3,0
"COM","70070","Betoncourt-sur-Mance",6,0
"COM","70070","Betoncourt-sur-Mance",11,0
"COM","70070","Betoncourt-sur-Mance",18,0
"COM","70070","Betoncourt-sur-Mance",25,0
"COM","70071","Beulotte-Saint-Laurent",25,4.82758620689655
"COM","70072","Beveuge",3,5
"COM","70072","Beveuge",6,10
"COM","70072","Beveuge",11,5
"COM","70074","Blondefontaine",0,15
"COM","70074","Blondefontaine",6,5
"COM","70074","Blondefontaine",11,15
"COM","70074","Blondefontaine",18,15
"COM","70074","Blondefontaine",25,15
"COM","70075","Bonboillon",0,15
"COM","70075","Bonboillon",3,5
"COM","70075","Bonboillon",6,30
"COM","70075","Bonboillon",11,15
"COM","70075","Bonboillon",18,5
"COM","70076","Bonnevent-Velloreille",0,14.5536604684949
"COM","70076","Bonnevent-Velloreille",3,4.88251657232852
"COM","70076","Bonnevent-Velloreille",6,28.9056545921469
"COM","70076","Bonnevent-Velloreille",11,28.9096168192829
"COM","70076","Bonnevent-Velloreille",18,19.6299189313942
"COM","70076","Bonnevent-Velloreille",25,4.98236921440865
"COM","70077","Borey",0,5
"COM","70077","Borey",3,10
"COM","70077","Borey",6,15
"COM","70077","Borey",11,15
"COM","70078","Bougey",3,5.05434782608696
"COM","70078","Bougey",6,10.1086956521739
"COM","70078","Bougey",11,10.1086956521739
"COM","70079","Bougnon",0,10.1945525291829
"COM","70079","Bougnon",6,35.68093385214
"COM","70079","Bougnon",11,50.9727626459144
